track,type,length,lin_length,arrest,G1,S,M,G2,parent,imprecise_exit
1,arrest-G2,22,22,22,,,,,0,0
2,arrest-G2,27,27,27,,,,,0,0
3,normal,57,385,,,,,>51,0,0
4,arrest-G2,16,16,16,,,,,0,0
5,normal,385,385,,>236,111,,>38,0,0
6,normal,9,385,,,,,>2,0,0
7,normal,385,385,,>236,76,,>73,0,0
8,normal,14,385,,,,,>10,0,0
9,normal,385,385,,>195,123,,>67,0,0
10,normal,128,258,,>6,38,,82,0,0
11,arrest-G1,385,385,385,,,,,0,0
12,normal,111,111,,>6,31,,>74,0,0
13,arrest-G1,385,385,385,,,,,0,0
14,normal,179,385,,>61,37,,70,0,0
15,arrest-G1,370,370,370,,,,,0,0
16,normal,13,385,,,,,>12,0,0
17,arrest-G2,16,16,16,,,,,0,0
18,normal,66,385,,,,,>61,0,0
19,arrest-G1,16,16,16,,,,,0,0
20,arrest-G1,385,385,385,,,,,0,0
22,normal,227,385,,>76,67,,73,0,0
23,normal,72,385,,,>8,,58,0,0
24,normal,270,270,,>153,19,,>98,0,0
25,arrest-G1,310,310,310,,,,,0,0
26,normal,385,385,,>246,72,,>67,0,0
27,arrest-G1,16,16,16,,,,,0,0
28,normal,14,385,,,,,>9,0,0
29,normal,235,385,,>94,49,,85,0,0
30,normal,163,380,,>15,31,,109,0,0
31,arrest-G2,16,16,16,,,,,0,0
32,normal,22,385,,,,,>16,0,0
33,normal,68,68,,>32,>36,,,0,0
34,normal,200,385,,>65,48,,75,0,0
35,normal,224,385,,>35,42,,94,0,0
36,arrest-G2,16,16,16,,,,,0,0
37,arrest-G2,16,16,16,,,,,0,0
38,normal,240,385,,>125,49,,60,0,0
39,normal,9,385,,,,,>3,0,0
40,normal,72,385,,,>14,,51,0,0
41,normal,93,385,,,>17,,68,0,0
42,normal,264,385,,>74,5,,165,0,0
43,normal,76,385,,,>6,,64,0,0
44,normal,31,385,,,,,>25,0,0
46,normal,223,385,,>61,63,,98,0,0
47,normal,385,385,,>303,>82,,,0,0
48,normal,110,110,,>74,12,,>24,0,0
50,normal,180,385,,>61,39,,68,0,0
51,normal,63,385,,,,,>57,0,0
52,arrest-G1,382,382,382,,,,,0,0
53,normal,58,385,,,,,>53,0,0
54,normal,385,385,,>64,27,,97,0,0
55,normal,122,338,,>5,34,,76,0,0
56,normal,169,385,,>40,41,,78,0,0
57,arrest-G1,57,57,57,,,,,0,0
58,normal,121,385,,>4,38,,72,0,0
59,normal,84,385,,,>8,,69,0,0
60,arrest-G1,284,284,284,,,,,0,0
61,normal,167,382,,>46,33,,72,0,0
64,normal,376,385,,>374,,8,,39,0
65,normal,226,355,,>6,47,,159,0,0
66,normal,371,385,,>369,,7,,28,0
67,normal,369,385,,252,60,9,>54,8,0
68,normal,369,385,,>366,,17,,6,0
69,normal,369,385,,308,>59,6,,16,0
70,normal,66,369,,,,,>60,0,0
71,normal,109,109,,>46,23,,>40,0,0
72,arrest-G2,161,161,161,,,,,0,0
73,normal,170,369,,>51,39,,68,0,0
75,normal,368,368,,324,35,,>7,0,0
76,normal,363,385,,219,47,8,>95,32,0
77,arrest-G2,171,171,171,,,,,0,0
78,normal,354,385,,340,>10,10,,44,0
79,arrest-G2,88,88,88,,,,,0,0
84,normal,328,385,,232,30,9,>63,3,0
85,normal,327,385,,>323,,9,,53,0
86,normal,322,385,,270,>49,9,,51,0
88,normal,319,385,,>316,,8,,18,0
90,normal,313,385,,270,>39,10,,23,0
91,normal,313,385,,135,96,8,>81,40,0
93,normal,309,385,,256,41,9,>9,43,0
96,normal,303,369,,>300,,9,,70,0
97,normal,301,385,,229,51,8,>20,59,0
98,arrest-G2,299,299,299,,,,,0,0
100,normal,196,385,,178,8,10,>8,41,0
102,normal,281,281,,>260,>21,,,0,0
103,arrest-G1,92,92,92,,,,,0,0
106,normal,28,28,,>6,3,,>19,0,0
108,normal,37,37,,>8,4,,>25,0,0
109,normal,108,385,,>106,,9,,58,0
110,normal,166,338,,>163,,10,,55,0
111,arrest-G2,107,107,107,,,,,0,0
112,normal,259,259,,>171,41,,>47,0,0
113,normal,181,257,,>48,66,,59,0,0
114,arrest-G1,34,34,34,,,,,0,0
115,normal,242,385,,>240,,12,,49,0
116,arrest-G2,53,53,53,,,,,0,0
118,normal,222,222,,>214,,,,0,0
119,normal,133,380,,>129,,12,,30,0
120,normal,216,385,,>211,,15,,56,0
121,normal,215,369,,>211,,13,,74,0
123,normal,208,208,,>204,,,,0,0
124,normal,205,385,,>201,,16,,50,0
125,normal,199,369,,>195,,16,,73,0
126,arrest-G1,11,11,11,,,,,0,0
127,arrest-G2,39,39,39,,,,,0,0
129,arrest-G2,13,13,13,,,,,0,0
131,normal,185,385,,>177,,20,,34,0
133,normal,174,337,,>165,,18,,82,0
135,arrest-G1,169,169,169,,,,,0,0
136,normal,161,385,,>159,,55,,35,0
137,arrest-G1,161,161,161,,,,,0,0
138,normal,159,159,,>153,,,,0,0
139,normal,156,385,,>150,,13,,46,0
142,normal,48,48,,>42,,,,0,0
143,normal,150,385,,>148,,9,,29,0
144,arrest-G1,150,150,150,,,,,0,0
145,normal,145,385,,>139,,12,,38,0
146,arrest-G2,39,39,39,,,,,0,0
147,arrest-G1,129,129,129,,,,,0,0
149,arrest-G1,92,92,92,,,,,0,0
150,normal,114,114,,>90,>24,,,0,0
151,arrest-G1,111,111,111,,,,,0,0
152,normal,105,105,,>54,27,,>24,0,0
155,normal,76,257,,>71,,13,,113,0
159,arrest-G1,56,56,56,,,,,0,0
160,normal,46,46,,>38,,,,0,0
161,arrest-G1,40,40,40,,,,,0,0
162,arrest-G1,37,37,37,,,,,0,0
167,arrest-G1,21,21,21,,,,,0,0
168,normal,20,385,,>17,,10,,191,0
169,arrest-G1,16,16,16,,,,,0,0
170,arrest-G1,16,16,16,,,,,0,0
172,arrest-M,11,11,11,,,,,0,0
178,normal,328,385,,>325,,9,,3,0
179,normal,376,385,,228,65,12,>78,6,0
